title,paragraph
Felix Dreyschock,"Felix Dreyschock (27 December 1860 in Leipzig – 1 August 1906 in Berlin) was a German pianist, nephew of Alexander Dreyschock.[1] He was a pupil of Friedrich Kiel, Wilhelm Taubert and Heinrich Ehrlich in Berlin,[2] where he in 1883 began to give concerts.[1] In Stockholm he performed successfully in 1886 and 1889, both as a virtuoso and composer. He wrote major and minor works for piano, violin, vocals, orchestra, etc."
Annette von Droste-Hülshoff,"Baroness Anna Elisabeth Franziska Adolphine Wilhelmine Louise Maria von Droste zu Hülshoff,[1] known as Annette von Droste-Hülshoff (German: [aˈnɛtə fɔn ˈdʁɔstəˈhʏlshɔf] (listen); 10 January[2] 1797 – 24 May 1848[3]), was a 19th-century German poet, novelist, and composer of Classical music. She was also the author of the novella Die Judenbuche."
Johann Dubez,"Johann Dubez (1828 – 27 October 1891) was an Austrian  composer and virtuoso of mandolin, guitar, harp and zither."
Alexander Dreyschock,Alexander Dreyschock (15 October 1818 – 1 April 1869) was a Czech pianist and composer.
Learmont Drysdale,"Learmont Drysdale (full name George John Learmont Drysdale; 3 October 1866 – 18 June 1909) was a Scottish composer. During a short career he wrote music inspired by Scotland, particularly the Scottish Borders; this included orchestral music, choral music and songs."
Alexandre Dubuque,"Alexandre Ivanovich Dubuque, also Alexander and Dubuc (Russian: Алекса́ндр Ива́нович Дюбю́к; Aleksandr Ivanovich Diubiuk; 3 March [O.S. 20 February] 1812  – 8 January 1898 [O.S. 27 December 1897]),[1][2] was a 19th-century Russian pianist, composer and teacher of French descent."
Pauline Duchambge,"Pauline Duchambge née de Montet (1778 – 23 April 1858) was a French pianist, singer, and composer."
Paul Dukas,"Paul Abraham Dukas (French: [dykas] or French: [dyka];[1] 1 October 1865 – 17 May 1935) was a French composer, critic, scholar and teacher. A studious man of retiring personality, he was intensely self-critical, having abandoned and destroyed many of his compositions. His best-known work is the orchestral piece The Sorcerer's Apprentice (L'apprenti sorcier), the fame of which has eclipsed that of his other surviving works. Among these are the opera Ariane et Barbe-bleue, his Symphony in C and Piano Sonata in E-flat minor, the Variations, Interlude and Finale on a Theme by Rameau (for solo piano), and a ballet, La Péri."
Thomas Dunhill,"Thomas Frederick Dunhill (1 February 1877 – 13 March 1946) was a prolific English composer in many genres, though he is best known today for his light music and educational piano works. His compositions include much chamber music, a song cycle, The Wind Among the Reeds, and an operetta, Tantivy Towers, that had a successful London run in 1931. He was also a teacher, examiner and writer on musical subjects."
Henri Duparc (composer),Eugène Marie Henri Fouques Duparc (21 January 1848 – 12 February 1933) was a French composer of the late Romantic period.
Alette Due,"Alethe ""Alette"" Wilhelmine Georgine Due, née Sibbern (28 February 1812, Værne Kloster – 7 May 1887, Oslo), was a Norwegian singer, composer and courtier. She was an honorary member of the Royal Swedish Academy of Music, and served as Overhoffmesterinne for Queen Sophia of Norway in 1873–1887."
Théodore Dubois,"Clément François Théodore Dubois (24 August 1837 – 11 June 1924) was a French Romantic composer, organist, and music teacher."
Jean-Baptiste Duvernoy,"Jean-Baptiste Duvernoy (c. 1802 – c. 1880) was a French pianist and composer of the Romantic period. He is best known for his Elementary Studies, Op. 176, designed to improve finger co-ordination. He is also known for The School of Mechanism, Op. 120."
Gabriel Dupont,"Gabriel Édouard Xavier Dupont (1 March 1878 – 1 August 1914) was a French composer, known for his operas and chamber music."
Édouard Du Puy,"Jean Baptiste Édouard Louis Camille Du Puy  (1770 – 3 April 1822) was a Swiss-born singer, composer, director, and violinist. He lived and worked in Copenhagen and Stockholm from 1793 until his death in 1822."
August Duranowski,August (Fryderyk) Duranowski (originally Auguste Frédéric Durand) (c 1770–1834) was a Polish-born French violinist and composer.
Sophia Dussek,"Sophia Giustina Dussek (née Corri; later Moralt; Edinburgh, 1 May 1775 – London, ca. 1831)[1] was a Scottish singer, pianist, harpist, and composer of Italian descent."
Katerina Veronika Anna Dusíkova,"Katerina Veronika Anna Dusíková (8 March 1769 – 24 March 1833) was a Bohemian singer, harpist, pianist and composer. She was also known as Veronika Rosalia Dusik (Dussek), Veronika Elisabeta Dusíková and Veronica Cianchettini. She was born in Čáslav, Bohemia, and began her studies in music with her organist father Jan Josef Dusik. She later moved to London to stay with her brother, composer Jan Ladislav Dusik, and married music publisher Francesco Cianchettini. She died in London in 1833.[1][2]"
Jan Ladislav Dussek,"Jan Ladislav Dussek (baptized Jan Václav Dusík,[1] with surname also written as Duschek or Düssek; 12 February 1760 – 20 March 1812) was a Czech composer and pianist. He was an important representative of Czech music abroad in the second half of the 18th century and the beginning of the 19th century. Some of his more forward-looking piano works have traits often associated with Romanticism.[2]"
Alphonse Duvernoy,Victor-Alphonse Duvernoy (pronounced [viktɔʁ alfɔ̃s dyvɛʁnwa]; 30 August 1842 – 7 March 1907) was a French pianist and composer.
Karl Anton Eckert,Karl Anton Florian Eckert (17 December 1820 – 14 October 1879) was a German conductor and composer.
Lotten Edholm,"Lovisa Christina Charlotta ""Lotten"" Edholm or af Edholm, née von Heijne (18 April 1839 - 12 July 1930) was a Swedish composer and a pioneer within the Swedish Red Cross."
Julian Edwards,"Julian Edwards (December 11, 1855 - September 5, 1910) was an English composer of light operatic music, who composed many successful Broadway shows in the Progressive Era. He attempted to introduce new levels of musical sophistication to the genre. Some of his songs achieved popularity at the time."
Fredrikke Egeberg,Fredrikke Egeberge (23 November 1815 – 16 May 1861) was a Norwegian pianist and composer.
Joachim Nicolas Eggert,Joachim Nicolas Eggert (22 February 1779 – 14 April 1813) was a Swedish composer and musical director.
Antonín Dvořák,"Antonín Leopold Dvořák (/d(ə)ˈvɔːrʒɑːk, -ʒæk/ d(ə-)VOR-zha(h)k; Czech: [ˈantoɲiːn ˈlɛopold ˈdvor̝aːk] (listen); 8 September 1841 – 1 May 1904) was a Czech composer, one of the first Czech composers to achieve worldwide recognition. Dvořák frequently employed rhythms and other aspects of the folk music of Moravia and his native Bohemia, following the Romantic-era nationalist example of his predecessor Bedřich Smetana. Dvořák's style has been described as ""the fullest recreation of a national idiom with that of the symphonic tradition, absorbing folk influences and finding effective ways of using them"".[1]"
Riccardo Drigo,"Riccardo Eugenio Drigo (ru. Риккардо Эудженьо Дриго) (30 June 1846 – 1 October 1930) was an Italian composer of ballet music and Italian opera, a theatrical conductor, and a pianist."
Heinrich Ehrlich,"Alfred Heinrich Ehrlich (5 October 1822, in Vienna – 30 December 1899, in Berlin) was a pianist, composer and writer on music. As a composer, he came forward with a Piano Concerto and Piano Variations on an Original Theme, being one of the first composers to collect Romanian folk melodies."
Julius Eichberg,"Julius Eichberg (13 June 1824 – 19 January 1893) was a German-born composer, musical director and educator who worked mostly in Boston, Massachusetts."
Konstantin Eiges,"Konstantin Romanovich Eiges (surname sometimes spelt Eyges, Russian Константин Романович Эйгес,  24 May (Old Style)/ 5 June 1875—2 Dec 1950) was a Russian composer, teacher and pianist."
Richard Eilenberg,Richard Eilenberg (13 January 1848 – 5 December 1927) was a German composer.
Louis Ehlert,Louis Ehlert (23 January 1825 – 4 January 1884) was a German composer and music critic.
Béni Egressy,"Béni Egressy (Hungarian pronunciation: [ˈbeːni ˈɛɡrɛʃi]; born Galambos Benjámin; 21 April 1814 – 17 July 1851 in Sajókazinc) was a Hungarian composer, librettist, translator and actor. He created a number of popular melodic compositions, including the one to Mihály Vörösmarty's patriotic poem Szózat.[1] He also authored the librettos of the operas Hunyadi László and Bánk bán by Ferenc Erkel."
Edward Elgar,"Sir Edward William Elgar, 1st Baronet, OM, GCVO (/ˈɛlɡɑːr/ (listen);[1] 2 June 1857 – 23 February 1934) was an English composer, many of whose works have entered the British and international classical concert repertoire. Among his best-known compositions are orchestral works including the Enigma Variations, the Pomp and Circumstance Marches, concertos for violin and cello, and two symphonies. He also composed choral works, including The Dream of Gerontius, chamber music and songs. He was appointed Master of the King's Musick in 1924."
Rosalind Ellicott,"Rosalind Frances Ellicott (November 14, 1857 – April 5, 1924) was an English composer, considered one of the leading female composers of her generation.[1]"
Herbert J. Ellis,"Herbert J. Ellis (4 July 1865 – 13 October 1903) was a banjo player, a mandolinist, guitar player and a composer. Music historian Philip J. Bone called him ""without question the most fertile English composer and arranger for mandolin and guitar."" He was the author of a banjo method, a guitar method, and a Tutor for Mandolin (1892), which he wrote while still in school.[1]"
Józef Elsner,"Józef Antoni Franciszek Elsner (sometimes Józef Ksawery Elsner;  baptismal name, Joseph Anton Franz Elsner; 1 June 1769 – 18 April 1854) was a composer, music teacher, and music theoretician, active mainly in Warsaw. He was one of the first composers in Poland to weave elements of folk music into his works.[1]"
Catharinus Elling,"Catharinus Elling (13 September 1858 – 8 January 1942) was a Norwegian music teacher, organist, music critic  and composer. He was also a folk music collector and the author of a number of books.  [1]"
John Lodge Ellerton,John Lodge Ellerton (11 January 1801 – 3 January 1873) was an English composer of classical music.
